circuitLabel,nObs,nDwellings,meanW
"Bed 2, 2nd Fridge",30311,1,80.1797336728469
Bedroom & Lounge Heat Pumps,70345,1,90.4843034330942
Bedrooms & Lounge,60754,1,130.087294033645
Cooking Bath tile heat,19412,1,135.770702102934
Downstairs (inc 1 Heat Pump),72683,1,7.25071747400898
Fridge,53096,2,81.0827760336026
Hallway & Washing Machine,12416,1,108.155740987697
Heat Pump,644577,18,90.9551702207425
Heat Pump & 2 x Bathroom Heat,19625,1,119.058261345358
Heat Pump & Bedroom 2,17605,1,153.405255654904
Heat Pump & Kitchen Appliances,58353,1,589.41257421676
Heat Pump & Lounge,70927,1,221.935274022795
Heat Pump & Misc,18124,1,176.614469017069
Heat Pump & Washing Machine,33684,1,113.522523144295
Heat Pump (x2) & Lounge Power,11618,1,330.66769825937
Heat Pumps (2x) & Power,81989,1,116.970626111566
Heat Pumps (2x) & Power1,19407,1,235.38991279571
Heat Pumps (2x) & Power2,19407,1,-66.2797764529563
Heat Pumps (2x) & Power_Imag,7583,1,-105.075756428118
Heating,47813,2,635.647000751365
Hob,102091,3,20.5183318003061
Hob & Kitchen Appliances,23570,1,349.553674582801
Hot Water,32452,2,305.402251826235
Hot Water  (2 elements),51274,1,394.892830797334
Hot Water - Controlled,995591,23,287.91896106922
Hot Water - Controlled (HEMS),72954,1,256.577056214823
Hot Water - Controlled1,19407,1,264.633198345617
Hot Water - Controlled2,19407,1,2.89276467629549
Hot Water - Controlled_Imag,7583,1,1.38508855797506
Hot Water - Uncontrolled,136539,4,308.662462975169
Hot Water Cpbd Heater- Cont,70927,1,76.9142885136819
Hot water,28401,1,216.747443920459
Incomer - All,384626,12,764.450124065418
Incomer - Uncontrolled,892855,17,758.33035432432
Incomer - Uncontrolled1,19407,1,1602.81889495112
Incomer - Uncontrolled2,19407,1,308.790043651872
Incomer - Uncontrolled_Imag,7583,1,164.224744552517
Incomer -Uncontrolled,58798,1,295.559231871388
Incomer 1,13040,1,693.701815552654
Incomer 1 - All,135061,2,-28.0904104079966
Incomer 1 - Hot Water - Cont,13310,1,431.690584107017
Incomer 1 - Uncont - Inc Hob,17605,1,407.190261082882
Incomer 1 - Uncont - inc Hob,32019,1,200.584455894148
Incomer 1 - Uncont inc Oven,12416,1,61.8057988159263
Incomer 1 - Uncont inc Stove,59477,1,280.638399366203
Incomer 1 - Uncontrolled,103309,3,253.859806828311
Incomer 1 - Uncontrolled ,23570,1,462.200693150248
Incomer 1 - inc Top Oven,9153,1,137.456088489805
Incomer 2,13040,1,561.389136693472
Incomer 2 - All,135061,2,59.8759178440908
Incomer 2 - Uncont - Inc Oven,17605,1,241.25607315848
Incomer 2 - Uncont - inc Oven,32019,1,237.832148596274
Incomer 2 - Uncont inc Oven,59477,1,102.715323597686
Incomer 2 - Uncont inc Stove,12416,1,176.843123979701
Incomer 2 - Uncontrolled,116619,4,405.569787687253
Incomer 2 - Uncontrolled ,23570,1,397.272814502612
Incomer 2 - inc Bottom Oven,9153,1,216.215229065099
Incomer 3 - Uncontrolled,13310,1,93.3832675875596
Incomer Voltage,48543,1,233.044650092917
Kitchen,184740,3,88.0594348734848
Kitchen & Bedrooms,81989,1,111.271795144109
Kitchen & Bedrooms1,19407,1,117.717178737134
Kitchen & Bedrooms2,19407,1,39.6274582885281
Kitchen & Bedrooms_Imag,7583,1,98.2012800613152
Kitchen & Laundry,135563,2,326.2180971974
Kitchen Appliances,818490,22,117.33018963682
Kitchen Appliances & Bedrooms,12416,1,39.718439895629
Kitchen Appliances & Garage,33684,1,46.2724754965042
Kitchen Appliances & Heat Pump,53402,1,274.956826848796
Kitchen Appliances & Laundry,138080,2,169.960688992615
Kitchen Appliances & Lounge,13310,1,147.101534354073
Kitchen Appliances & Ventilati,18032,1,438.888106744316
"Kitchen Power & Heat, Lounge",19625,1,142.513253688749
Kitchen power,28401,1,203.905063397062
"Kitchen, Dining & Office",29556,1,112.219822141652
"Kitchen, Laundry & Beds 1&3",30305,1,344.660507956013
"Kitchen, Laundry & Ventilation",72954,1,240.92186854041
Laundry,315368,9,33.5982868214698
Laundry ,58753,1,32.9651666610009
Laundry & 2nd Fridge Freezer,51639,1,146.050244824463
Laundry & Bedrooms,81989,1,167.521191429735
Laundry & Bedrooms1,19407,1,285.920723353069
Laundry & Bedrooms2,19407,1,105.45651191826
Laundry & Bedrooms_Imag,7583,1,4.98796472027775
Laundry & Freezer,32529,1,131.294286062798
Laundry & Fridge Freezer,58798,1,55.9607736416425
Laundry & Garage,69907,2,205.805606820732
Laundry & Garage Freezer,24373,1,104.939073460894
Laundry & Garage Fridge,27332,1,37.1885105366048
Laundry & Hob,18032,1,92.1820310763679
Laundry & Kitchen,24801,1,15.0038779047609
Laundry & Kitchen Appliances,13040,1,259.593195561277
Laundry & Microwave,59477,1,172.131116570201
Laundry & Teenagers Bedroom,53402,1,49.2878297872812
"Laundry, Downstairs & Lounge",62810,1,237.563144894465
"Laundry, Fridge & Freezer",70291,1,97.8648998488836
"Laundry, Fridge & Microwave",13310,1,63.8395071185328
"Laundry, Garage & 2 Bedrooms",19625,1,9.69388256989845
"Laundry, Garage & Guest Bed",9878,1,11.1681839844571
"Laundry, Garage Fridge Freezer",26083,1,124.968893226908
"Laundry, Lounge, Garage, Bed",29556,1,109.408461449645
"Laundry, Sauna & 2nd Fridge",64716,1,66.2845952945586
Lighting,789233,20,106.146512543514
Lighting & 2 Towel Rail,51274,1,278.26497412337
Lighting (inc heat lamps),32529,1,361.125774317336
Lighting 1/2,9153,1,-1.72140477825326
Lighting 2/2,9153,1,7.88390868998362
Lighting1,19407,1,440.831531977624
Lighting2,19407,1,42.5557261738402
Lighting_Imag,7583,1,9.50665512354512
Lights,47813,2,79.8794687338102
"Lounge, Dining & Bedrooms",17605,1,169.898890184422
Lower Bedrooms & Bathrooms,33684,1,43.3930199029789
Mains,47813,2,1279.8539030208
Microwave,67153,1,42.5490559144336
Microwave & Breadmaker,12416,1,59.2078365574942
Oven,665749,15,37.4788395993999
Oven & Hob,257423,4,57.7016494527148
Oven & Hobb,24801,1,26.5241586034097
Oven & Kitchen Appliances,18124,1,262.494126932493
Oven & Oven Wall Appliances,30311,1,38.1806338718889
"Oven, Hob & Microwave",53402,1,37.4182837802764
PV,70291,1,-799.585910401965
PV & Garage,2885,1,-489.754475647414
PV & Storage,72954,1,-93.9416093898447
PV 1,70345,1,-594.140588930141
PV 2,70345,1,-604.97651188548
Power Outlets,59477,1,37.4935474770359
Range,28401,1,39.2112874722379
Spa,64716,1,405.013319837173
Spa (HEMS),72954,1,267.847663354387
Spa - Uncontrolled,70927,1,29.1037882047739
Theatre Heat Pump,70345,1,3.03021330865085
Upstairs Heat Pumps,72683,1,147.743323484847
Ventilation & Lounge Power,62880,1,396.925231758906
Wall Oven,19625,1,26.4018445633306
Washing Machine,53554,1,3.65723042868096
Workshop,67153,1,18.5429831594075
imputedTotalDemand_circuitsToSum_v1.1,1770614,45,863.392151360606
