circuitLabel,nObs,nDwellings,meanW,minW,maxW
"Bed 2, 2nd Fridge",30311,1,80.1797336728469,0,926.520333333333
Bedroom & Lounge Heat Pumps,70345,1,90.4843034330942,0,2555.719
Bedrooms & Lounge,60754,1,130.087294033645,-358.243333333333,1319.592
Cooking Bath tile heat,19412,1,135.770702102934,0,798.914333333334
Downstairs (inc 1 Heat Pump),72683,1,7.25071747400898,-2343.78766666667,2967.43533333333
Fridge,53096,2,81.0827760336026,0,1212.82766666667
Hallway & Washing Machine,12416,1,108.155740987697,-4.552,990.365666666666
Heat Pump,644577,18,90.9551702207425,-58.367,4982.931
Heat Pump & 2 x Bathroom Heat,19625,1,119.058261345358,0,3559.722
Heat Pump & Bedroom 2,17605,1,153.405255654904,-26.8766666666667,3242.93666666667
Heat Pump & Kitchen Appliances,58353,1,589.41257421676,20.9363333333333,3760.92033333333
Heat Pump & Lounge,70927,1,221.935274022795,0,3314.13366666667
Heat Pump & Misc,18124,1,176.614469017069,-173.072,1701.146
Heat Pump & Washing Machine,33684,1,113.522523144295,0,3120.88666666667
Heat Pump (x2) & Lounge Power,11618,1,330.66769825937,0,5340.914
Heat Pumps (2x) & Power,81989,1,116.970626111566,-242.387586206897,2959.364
Heat Pumps (2x) & Power1,19407,1,235.38991279571,5.915,2959.364
Heat Pumps (2x) & Power2,19407,1,-66.2797764529563,-241.698666666667,249.051333333333
Heat Pumps (2x) & Power_Imag,7583,1,-105.075756428118,-269.723666666667,250.486666666667
Heating,47813,2,635.647000751365,0,7084.992
Hob,102091,3,20.5183318003061,-1820.112,2409.673
Hob & Kitchen Appliances,23570,1,349.553674582801,0,2379.29233333333
Hot Water,32452,2,305.402251826235,0,2215.737
Hot Water  (2 elements),51274,1,394.892830797334,0,3317.472
Hot Water - Controlled,995591,23,287.91896106922,-525.423333333333,3317.72
Hot Water - Controlled (HEMS),72954,1,256.577056214823,0,1459.965
Hot Water - Controlled1,19407,1,264.633198345617,-0.569666666666667,2137.988
Hot Water - Controlled2,19407,1,2.89276467629549,-26.6316666666667,56.671
Hot Water - Controlled_Imag,7583,1,1.38508855797506,-32.4076666666667,89.8396666666667
Hot Water - Uncontrolled,136539,4,308.662462975169,-208.233333333333,3901.04966666667
Hot Water Cpbd Heater- Cont,70927,1,76.9142885136819,0,1955.70733333333
Hot water,28401,1,216.747443920459,0,1874.64633333333
Incomer - All,384626,12,764.450124065418,-2794.55033333333,9557.46466666666
Incomer - Uncontrolled,892855,17,758.33035432432,-4316.03733333333,9575.82766666667
Incomer - Uncontrolled1,19407,1,1602.81889495112,188.321333333333,8336.389
Incomer - Uncontrolled2,19407,1,308.790043651872,-171.750666666667,1291.09466666667
Incomer - Uncontrolled_Imag,7583,1,164.224744552517,-280.357666666667,1306.426
Incomer -Uncontrolled,58798,1,295.559231871388,68.5593333333334,3890.58166666667
Incomer 1,13040,1,693.701815552654,1.13933333333333,5209.02033333333
Incomer 1 - All,135061,2,-28.0904104079966,-3698.63333333333,3598.29566666667
Incomer 1 - Hot Water - Cont,13310,1,431.690584107017,0,3057.66866666667
Incomer 1 - Uncont - Inc Hob,17605,1,407.190261082882,38.8326666666667,3396.07966666667
Incomer 1 - Uncont - inc Hob,32019,1,200.584455894148,21.228,4712.595
Incomer 1 - Uncont inc Oven,12416,1,61.8057988159263,0,2251.039
Incomer 1 - Uncont inc Stove,59477,1,280.638399366203,0,4072.83466666667
Incomer 1 - Uncontrolled,103309,3,253.859806828311,-41.6333333333333,3485.95133333333
Incomer 1 - Uncontrolled ,23570,1,462.200693150248,0,4566.72833333333
Incomer 1 - inc Top Oven,9153,1,137.456088489805,0,2831.723
Incomer 2,13040,1,561.389136693472,-660.5,5345.70866666667
Incomer 2 - All,135061,2,59.8759178440908,-3929.02633333333,4736.61866666667
Incomer 2 - Uncont - Inc Oven,17605,1,241.25607315848,-26.04,3920.39133333333
Incomer 2 - Uncont - inc Oven,32019,1,237.832148596274,-376.067333333333,4797.08266666667
Incomer 2 - Uncont inc Oven,59477,1,102.715323597686,-1372.39866666667,2974.60966666667
Incomer 2 - Uncont inc Stove,12416,1,176.843123979701,0,2164.477
Incomer 2 - Uncontrolled,116619,4,405.569787687253,-890.578181818182,6400.35166666667
Incomer 2 - Uncontrolled ,23570,1,397.272814502612,0,2478.95233333333
Incomer 2 - inc Bottom Oven,9153,1,216.215229065099,36.2183333333333,2333.49666666667
Incomer 3 - Uncontrolled,13310,1,93.3832675875596,-32.4112,1023.548
Incomer Voltage,48543,1,233.044650092917,217.706,238.867333333333
Kitchen,184740,3,88.0594348734848,0,2273.91633333333
Kitchen & Bedrooms,81989,1,111.271795144109,-45.3023333333333,2106.42233333333
Kitchen & Bedrooms1,19407,1,117.717178737134,0,1436.52
Kitchen & Bedrooms2,19407,1,39.6274582885281,-37.7376666666667,205.681333333333
Kitchen & Bedrooms_Imag,7583,1,98.2012800613152,-41.4986666666667,204.521666666667
Kitchen & Laundry,135563,2,326.2180971974,0,4445.761
Kitchen Appliances,818490,22,117.33018963682,-586.962333333333,3484.788
Kitchen Appliances & Bedrooms,12416,1,39.718439895629,0,2247.65666666667
Kitchen Appliances & Garage,33684,1,46.2724754965042,-2.52333333333333,1952.11433333333
Kitchen Appliances & Heat Pump,53402,1,274.956826848796,62.99,3180.31233333333
Kitchen Appliances & Laundry,138080,2,169.960688992615,-41.1,3144.27466666667
Kitchen Appliances & Lounge,13310,1,147.101534354073,-1.6864,2063.29
Kitchen Appliances & Ventilati,18032,1,438.888106744316,-500.265454545455,3044.483
"Kitchen Power & Heat, Lounge",19625,1,142.513253688749,13.8096666666667,2670.40366666667
Kitchen power,28401,1,203.905063397062,0,3048.56466666667
"Kitchen, Dining & Office",29556,1,112.219822141652,0,2221.44966666667
"Kitchen, Laundry & Beds 1&3",30305,1,344.660507956013,19.9072727272727,2555.615
"Kitchen, Laundry & Ventilation",72954,1,240.92186854041,41.791,3810.431
Laundry,315368,9,33.5982868214698,-1.77368421052632,3301.47733333333
Laundry ,58753,1,32.9651666610009,0,2336.731
Laundry & 2nd Fridge Freezer,51639,1,146.050244824463,0,3843.133
Laundry & Bedrooms,81989,1,167.521191429735,-60.26,3784.37833333333
Laundry & Bedrooms1,19407,1,285.920723353069,0,3784.37833333333
Laundry & Bedrooms2,19407,1,105.45651191826,-42.125,732.263
Laundry & Bedrooms_Imag,7583,1,4.98796472027775,-113.905666666667,439.699333333333
Laundry & Freezer,32529,1,131.294286062798,0,1633.09633333333
Laundry & Fridge Freezer,58798,1,55.9607736416425,0,1136.26766666667
Laundry & Garage,69907,2,205.805606820732,0,3457.71933333333
Laundry & Garage Freezer,24373,1,104.939073460894,0,2209.19
Laundry & Garage Fridge,27332,1,37.1885105366048,0,1716.55
Laundry & Hob,18032,1,92.1820310763679,0,3457.229
Laundry & Kitchen,24801,1,15.0038779047609,0,1073.84933333333
Laundry & Kitchen Appliances,13040,1,259.593195561277,-564.166666666667,4637.651
Laundry & Microwave,59477,1,172.131116570201,0,3690.156
Laundry & Teenagers Bedroom,53402,1,49.2878297872812,0,1804.799
"Laundry, Downstairs & Lounge",62810,1,237.563144894465,0,2799.643
"Laundry, Fridge & Freezer",70291,1,97.8648998488836,-25.632,1286.74766666667
"Laundry, Fridge & Microwave",13310,1,63.8395071185328,-26.4082608695652,993.04
"Laundry, Garage & 2 Bedrooms",19625,1,9.69388256989845,-1.472,1773.14066666667
"Laundry, Garage & Guest Bed",9878,1,11.1681839844571,0,343.22
"Laundry, Garage Fridge Freezer",26083,1,124.968893226908,25.64,2389.454
"Laundry, Lounge, Garage, Bed",29556,1,109.408461449645,0,871.608
"Laundry, Sauna & 2nd Fridge",64716,1,66.2845952945586,-7.44444444444445,2557.82266666667
Lighting,789233,20,106.146512543514,-127.277,3411.40133333333
Lighting & 2 Towel Rail,51274,1,278.26497412337,0,2101.948
Lighting (inc heat lamps),32529,1,361.125774317336,0,3528.90533333333
Lighting 1/2,9153,1,-1.72140477825326,-68.6086666666667,14.6
Lighting 2/2,9153,1,7.88390868998362,0,166.435666666667
Lighting1,19407,1,440.831531977624,41.4,2187.108
Lighting2,19407,1,42.5557261738402,-127.277,415.553
Lighting_Imag,7583,1,9.50665512354512,-96.2106666666667,471.371333333333
Lights,47813,2,79.8794687338102,0,1102.658
"Lounge, Dining & Bedrooms",17605,1,169.898890184422,0,3062.73433333333
Lower Bedrooms & Bathrooms,33684,1,43.3930199029789,-2.12833333333333,1429.15866666667
Mains,47813,2,1279.8539030208,25.467,10981.5883333333
Microwave,67153,1,42.5490559144336,0,1788.205
Microwave & Breadmaker,12416,1,59.2078365574942,0,756.951666666667
Oven,665749,15,37.4788395993999,-1067.563,3676.903
Oven & Hob,257423,4,57.7016494527148,-24.6446666666667,3919.073
Oven & Hobb,24801,1,26.5241586034097,0,2908.37133333333
Oven & Kitchen Appliances,18124,1,262.494126932493,39.1333333333333,3397.599
Oven & Oven Wall Appliances,30311,1,38.1806338718889,0,2495.70133333333
"Oven, Hob & Microwave",53402,1,37.4182837802764,0,3614.151
PV,70291,1,-799.585910401965,-4549.259,5.76666666666667
PV & Garage,2885,1,-489.754475647414,-3071.27033333333,93.182
PV & Storage,72954,1,-93.9416093898447,-2044.63066666667,2049.756
PV 1,70345,1,-594.140588930141,-3966.10633333333,38.1866666666667
PV 2,70345,1,-604.97651188548,-4037.073,27.978
Power Outlets,59477,1,37.4935474770359,-944.934,1939.86266666667
Range,28401,1,39.2112874722379,0,3550.979
Spa,64716,1,405.013319837173,0,3374.302
Spa (HEMS),72954,1,267.847663354387,0,2126.47
Spa - Uncontrolled,70927,1,29.1037882047739,0,3044.716
Theatre Heat Pump,70345,1,3.03021330865085,-3.26666666666667,999.087
Upstairs Heat Pumps,72683,1,147.743323484847,-46.29,2762.92566666667
Ventilation & Lounge Power,62880,1,396.925231758906,30.171,4409.60566666667
Wall Oven,19625,1,26.4018445633306,-2.42266666666667,2473.25533333333
Washing Machine,53554,1,3.65723042868096,-0.791666666666667,454.509333333333
Workshop,67153,1,18.5429831594075,-7.42857142857143,1759.15866666667
