region,regionName,Time_Period,hours,rDateTime,weekdays,peakPeriod,sumkWh,nObs,nRegions,nPOCs,nNetworks,nGenTypes,month,hms
h,Hawke's bay,TP23,11,2015-07-09T23:00:00Z,Weekdays,Day time,95432,3,1,3,1,1,Jul,39600
h,Hawke's bay,TP36,17,2015-07-09T05:30:00Z,Weekdays,Evening peak,94725,3,1,3,1,1,Jul,63000
h,Hawke's bay,TP24,11,2015-07-09T23:30:00Z,Weekdays,Day time,94214,3,1,3,1,1,Jul,41400
h,Hawke's bay,TP20,9,2015-06-25T21:30:00Z,Weekdays,Day time,94115,3,1,3,1,1,Jun,34200
h,Hawke's bay,TP36,17,2015-06-23T05:30:00Z,Weekdays,Evening peak,94018,3,1,3,1,1,Jun,63000
h,Hawke's bay,TP23,11,2015-07-08T23:00:00Z,Weekdays,Day time,93898,3,1,3,1,1,Jul,39600
h,Hawke's bay,TP22,10,2015-07-13T22:30:00Z,Weekdays,Day time,93834,3,1,3,1,1,Jul,37800
h,Hawke's bay,TP18,8,2015-07-30T20:30:00Z,Weekdays,Morning peak,93627,3,1,3,1,1,Jul,30600
h,Hawke's bay,TP37,18,2015-07-09T06:00:00Z,Weekdays,Evening peak,93603,3,1,3,1,1,Jul,64800
h,Hawke's bay,TP19,9,2015-07-20T21:00:00Z,Weekdays,Day time,92724,3,1,3,1,1,Jul,32400
h,Hawke's bay,TP19,9,2015-06-25T21:00:00Z,Weekdays,Day time,92421,3,1,3,1,1,Jun,32400
h,Hawke's bay,TP36,17,2015-06-24T05:30:00Z,Weekdays,Evening peak,92288,3,1,3,1,1,Jun,63000
h,Hawke's bay,TP34,16,2015-07-09T04:30:00Z,Weekdays,Day time,92265,3,1,3,1,1,Jul,59400
h,Hawke's bay,TP20,9,2015-08-13T21:30:00Z,Weekdays,Day time,91996,3,1,3,1,1,Aug,34200
h,Hawke's bay,TP19,9,2015-07-30T21:00:00Z,Weekdays,Day time,91973,3,1,3,1,1,Jul,32400
h,Hawke's bay,TP21,10,2015-07-13T22:00:00Z,Weekdays,Day time,91956,3,1,3,1,1,Jul,36000
h,Hawke's bay,TP37,18,2015-06-23T06:00:00Z,Weekdays,Evening peak,91795,3,1,3,1,1,Jun,64800
h,Hawke's bay,TP35,17,2015-07-09T05:00:00Z,Weekdays,Evening peak,91654,3,1,3,1,1,Jul,61200
h,Hawke's bay,TP35,17,2015-06-24T05:00:00Z,Weekdays,Evening peak,91522,3,1,3,1,1,Jun,61200
h,Hawke's bay,TP22,10,2015-07-09T22:30:00Z,Weekdays,Day time,91397,3,1,3,1,1,Jul,37800
h,Hawke's bay,TP38,18,2015-07-09T06:30:00Z,Weekdays,Evening peak,91368,3,1,3,1,1,Jul,66600
h,Hawke's bay,TP24,11,2015-07-08T23:30:00Z,Weekdays,Day time,91283,3,1,3,1,1,Jul,41400
h,Hawke's bay,TP25,12,2015-07-10T00:00:00Z,Weekdays,Day time,91176,3,1,3,1,1,Jul,43200
h,Hawke's bay,TP35,17,2015-06-23T05:00:00Z,Weekdays,Evening peak,91158,3,1,3,1,1,Jun,61200
h,Hawke's bay,TP36,17,2015-06-25T05:30:00Z,Weekdays,Evening peak,90936,3,1,3,1,1,Jun,63000
h,Hawke's bay,TP37,18,2015-06-24T06:00:00Z,Weekdays,Evening peak,90740,3,1,3,1,1,Jun,64800
h,Hawke's bay,TP40,19,2015-06-24T07:30:00Z,Weekdays,Evening peak,90701,3,1,3,1,1,Jun,70200
h,Hawke's bay,TP22,10,2015-07-19T22:30:00Z,Weekdays,Day time,90688,3,1,3,1,1,Jul,37800
h,Hawke's bay,TP41,20,2015-06-25T08:00:00Z,Weekdays,Evening peak,90403,3,1,3,1,1,Jun,72000
h,Hawke's bay,TP38,18,2015-06-24T06:30:00Z,Weekdays,Evening peak,90390,3,1,3,1,1,Jun,66600
h,Hawke's bay,TP39,19,2015-06-24T07:00:00Z,Weekdays,Evening peak,90047,3,1,3,1,1,Jun,68400
h,Hawke's bay,TP40,19,2015-06-25T07:30:00Z,Weekdays,Evening peak,89918,3,1,3,1,1,Jun,70200
h,Hawke's bay,TP44,21,2015-07-09T09:30:00Z,Weekdays,Late evening,89857,3,1,3,1,1,Jul,77400
h,Hawke's bay,TP34,16,2015-06-24T04:30:00Z,Weekdays,Day time,89853,3,1,3,1,1,Jun,59400
h,Hawke's bay,TP43,21,2015-07-08T09:00:00Z,Weekdays,Late evening,89838,3,1,3,1,1,Jul,75600
h,Hawke's bay,TP38,18,2015-06-23T06:30:00Z,Weekdays,Evening peak,89756,3,1,3,1,1,Jun,66600
h,Hawke's bay,TP16,7,2015-06-24T19:30:00Z,Weekdays,Morning peak,89746,3,1,3,1,1,Jun,27000
h,Hawke's bay,TP36,17,2015-06-22T05:30:00Z,Weekdays,Evening peak,89581,3,1,3,1,1,Jun,63000
h,Hawke's bay,TP16,7,2015-06-23T19:30:00Z,Weekdays,Morning peak,89540,3,1,3,1,1,Jun,27000
h,Hawke's bay,TP41,20,2015-06-24T08:00:00Z,Weekdays,Evening peak,89492,3,1,3,1,1,Jun,72000
h,Hawke's bay,TP36,17,2015-07-08T05:30:00Z,Weekdays,Evening peak,89432,3,1,3,1,1,Jul,63000
h,Hawke's bay,TP17,8,2015-06-24T20:00:00Z,Weekdays,Morning peak,89318,3,1,3,1,1,Jun,28800
h,Hawke's bay,TP20,9,2015-07-23T21:30:00Z,Weekdays,Day time,89180,3,1,3,1,1,Jul,34200
h,Hawke's bay,TP20,9,2015-07-22T21:30:00Z,Weekdays,Day time,89131,3,1,3,1,1,Jul,34200
h,Hawke's bay,TP21,10,2015-07-08T22:00:00Z,Weekdays,Day time,89102,3,1,3,1,1,Jul,36000
h,Hawke's bay,TP35,17,2015-06-22T05:00:00Z,Weekdays,Evening peak,89078,3,1,3,1,1,Jun,61200
h,Hawke's bay,TP34,16,2015-06-23T04:30:00Z,Weekdays,Day time,89069,3,1,3,1,1,Jun,59400
h,Hawke's bay,TP38,18,2015-07-30T06:30:00Z,Weekdays,Evening peak,88949,3,1,3,1,1,Jul,66600
h,Hawke's bay,TP19,9,2015-07-07T21:00:00Z,Weekdays,Day time,88948,3,1,3,1,1,Jul,32400
h,Hawke's bay,TP27,13,2015-06-24T01:00:00Z,Weekdays,Day time,88843,3,1,3,1,1,Jun,46800
h,Hawke's bay,TP17,8,2015-06-23T20:00:00Z,Weekdays,Morning peak,88820,3,1,3,1,1,Jun,28800
h,Hawke's bay,TP22,10,2015-07-12T22:30:00Z,Weekdays,Day time,88816,3,1,3,1,1,Jul,37800
h,Hawke's bay,TP17,8,2015-06-25T20:00:00Z,Weekdays,Morning peak,88742,3,1,3,1,1,Jun,28800
h,Hawke's bay,TP39,19,2015-07-09T07:00:00Z,Weekdays,Evening peak,88702,3,1,3,1,1,Jul,68400
h,Hawke's bay,TP18,8,2015-07-20T20:30:00Z,Weekdays,Morning peak,88667,3,1,3,1,1,Jul,30600
h,Hawke's bay,TP16,7,2015-07-23T19:30:00Z,Weekdays,Morning peak,88637,3,1,3,1,1,Jul,27000
h,Hawke's bay,TP25,12,2015-07-09T00:00:00Z,Weekdays,Day time,88600,3,1,3,1,1,Jul,43200
h,Hawke's bay,TP25,12,2015-06-24T00:00:00Z,Weekdays,Day time,88580,3,1,3,1,1,Jun,43200
h,Hawke's bay,TP37,18,2015-07-30T06:00:00Z,Weekdays,Evening peak,88549,3,1,3,1,1,Jul,64800
h,Hawke's bay,TP37,18,2015-07-08T06:00:00Z,Weekdays,Evening peak,88525,3,1,3,1,1,Jul,64800
h,Hawke's bay,TP16,7,2015-07-30T19:30:00Z,Weekdays,Morning peak,88455,3,1,3,1,1,Jul,27000
h,Hawke's bay,TP17,8,2015-08-09T20:00:00Z,Weekdays,Morning peak,88431,3,1,3,1,1,Aug,28800
h,Hawke's bay,TP20,9,2015-07-07T21:30:00Z,Weekdays,Day time,88419,3,1,3,1,1,Jul,34200
h,Hawke's bay,TP35,17,2015-06-25T05:00:00Z,Weekdays,Evening peak,88332,3,1,3,1,1,Jun,61200
h,Hawke's bay,TP40,19,2015-07-20T07:30:00Z,Weekdays,Evening peak,88318,3,1,3,1,1,Jul,70200
h,Hawke's bay,TP35,17,2015-07-10T05:00:00Z,Weekdays,Evening peak,88299,3,1,3,1,1,Jul,61200
h,Hawke's bay,TP39,19,2015-06-22T07:00:00Z,Weekdays,Evening peak,88239,3,1,3,1,1,Jun,68400
h,Hawke's bay,TP37,18,2015-06-25T06:00:00Z,Weekdays,Evening peak,88148,3,1,3,1,1,Jun,64800
h,Hawke's bay,TP18,8,2015-07-07T20:30:00Z,Weekdays,Morning peak,88139,3,1,3,1,1,Jul,30600
h,Hawke's bay,TP39,19,2015-06-23T07:00:00Z,Weekdays,Evening peak,88129,3,1,3,1,1,Jun,68400
h,Hawke's bay,TP18,8,2015-06-23T20:30:00Z,Weekdays,Morning peak,88126,3,1,3,1,1,Jun,30600
h,Hawke's bay,TP26,12,2015-07-10T00:30:00Z,Weekdays,Day time,88077,3,1,3,1,1,Jul,45000
h,Hawke's bay,TP36,17,2015-06-16T05:30:00Z,Weekdays,Evening peak,88070,3,1,3,1,1,Jun,63000
h,Hawke's bay,TP36,17,2015-06-15T05:30:00Z,Weekdays,Evening peak,88011,3,1,3,1,1,Jun,63000
h,Hawke's bay,TP37,18,2015-06-22T06:00:00Z,Weekdays,Evening peak,87999,3,1,3,1,1,Jun,64800
h,Hawke's bay,TP42,20,2015-06-23T08:30:00Z,Weekdays,Evening peak,87891,3,1,3,1,1,Jun,73800
h,Hawke's bay,TP41,20,2015-07-22T08:00:00Z,Weekdays,Evening peak,87867,3,1,3,1,1,Jul,72000
h,Hawke's bay,TP39,19,2015-06-08T07:00:00Z,Weekdays,Evening peak,87863,3,1,3,1,1,Jun,68400
h,Hawke's bay,TP41,20,2015-07-14T08:00:00Z,Weekdays,Evening peak,87847,3,1,3,1,1,Jul,72000
h,Hawke's bay,TP18,8,2015-06-25T20:30:00Z,Weekdays,Morning peak,87842,3,1,3,1,1,Jun,30600
h,Hawke's bay,TP16,7,2015-06-22T19:30:00Z,Weekdays,Morning peak,87801,3,1,3,1,1,Jun,27000
h,Hawke's bay,TP33,16,2015-07-09T04:00:00Z,Weekdays,Day time,87761,3,1,3,1,1,Jul,57600
h,Hawke's bay,TP36,17,2015-06-17T05:30:00Z,Weekdays,Evening peak,87681,3,1,3,1,1,Jun,63000
h,Hawke's bay,TP37,18,2015-06-15T06:00:00Z,Weekdays,Evening peak,87672,3,1,3,1,1,Jun,64800
h,Hawke's bay,TP21,10,2015-07-07T22:00:00Z,Weekdays,Day time,87649,3,1,3,1,1,Jul,36000
h,Hawke's bay,TP17,8,2015-06-22T20:00:00Z,Weekdays,Morning peak,87630,3,1,3,1,1,Jun,28800
h,Hawke's bay,TP38,18,2015-06-17T06:30:00Z,Weekdays,Evening peak,87587,3,1,3,1,1,Jun,66600
h,Hawke's bay,TP42,20,2015-07-14T08:30:00Z,Weekdays,Evening peak,87579,3,1,3,1,1,Jul,73800
h,Hawke's bay,TP22,10,2015-06-24T22:30:00Z,Weekdays,Day time,87547,3,1,3,1,1,Jun,37800
h,Hawke's bay,TP37,18,2015-07-15T06:00:00Z,Weekdays,Evening peak,87542,3,1,3,1,1,Jul,64800
h,Hawke's bay,TP22,10,2015-07-08T22:30:00Z,Weekdays,Day time,87503,3,1,3,1,1,Jul,37800
h,Hawke's bay,TP36,17,2015-06-08T05:30:00Z,Weekdays,Evening peak,87487,3,1,3,1,1,Jun,63000
h,Hawke's bay,TP26,12,2015-06-24T00:30:00Z,Weekdays,Day time,87485,3,1,3,1,1,Jun,45000
h,Hawke's bay,TP36,17,2015-07-14T05:30:00Z,Weekdays,Evening peak,87485,3,1,3,1,1,Jul,63000
h,Hawke's bay,TP40,19,2015-06-17T07:30:00Z,Weekdays,Evening peak,87448,3,1,3,1,1,Jun,70200
h,Hawke's bay,TP16,7,2015-06-25T19:30:00Z,Weekdays,Morning peak,87438,3,1,3,1,1,Jun,27000
h,Hawke's bay,TP36,17,2015-06-05T05:30:00Z,Weekdays,Evening peak,87438,3,1,3,1,1,Jun,63000
h,Hawke's bay,TP39,19,2015-07-15T07:00:00Z,Weekdays,Evening peak,87426,3,1,3,1,1,Jul,68400
h,Hawke's bay,TP40,19,2015-06-22T07:30:00Z,Weekdays,Evening peak,87404,3,1,3,1,1,Jun,70200
h,Hawke's bay,TP23,11,2015-07-13T23:00:00Z,Weekdays,Day time,87395,3,1,3,1,1,Jul,39600
